seed_subset,rho,control,branch,svd_minus_control_pp,ci95_low_pp,ci95_high_pp
3417,1/4,learned,oct,-1.359975680810832,-5.735716144343912,3.0154890566557864
3417,1/4,learned,mean,-0.1752555790603072,-4.084786951407017,3.8019871923712896
3417,1/4,svd_self,cfp,6.067969731860545,0.27618921614699354,11.813060762829496
3417,1/4,svd_self,oct,4.384559356994922,-1.7049329148460426,10.491762013200916
3417,1/4,svd_self,mean,5.226264544427734,0.7276148055729464,9.649497704822364
3417,1/4,svd_scrambled,cfp,1.7435644669500983,-2.301508059522372,5.758191813726491
3417,1/4,svd_scrambled,oct,1.099586100784844,-3.3537193707977107,5.626343476444565
3417,1/4,svd_scrambled,mean,1.4215752838674711,-2.2752072875424965,5.140347276624927
3417,1/4,svd_resample,cfp,4.533108853597112,-0.3592031141051324,9.419118699419215
3417,1/4,svd_resample,oct,4.547164022771133,-1.0453584711507893,10.218822996753312
3417,1/4,svd_resample,mean,4.540136438184122,0.40684074772341916,8.636921384799619
3417,1/4,qr_radon,cfp,1.352107529092006,-3.0351431660463604,5.745555175858719
3417,1/4,qr_radon,oct,0.33467065093788495,-4.3817222885996,5.076690317500339
3417,1/4,qr_radon,mean,0.8433890900149454,-3.066757560035647,4.731622996023897
3418,1/16,no_bridge,cfp,3.0378266617238747,-1.6233783249105733,7.6741792636453585
3418,1/16,no_bridge,oct,4.3644535520038445,-2.0312533427887693,10.850511034455725
3418,1/16,no_bridge,mean,3.7011401068638596,-0.2393584774420572,7.837546240344237
3418,1/16,learned,cfp,0.4387122891758022,-3.76416621997489,4.648946304360585
3418,1/16,learned,oct,0.45441099708660726,-4.222965272190262,5.079841326147358
3418,1/16,learned,mean,0.4465616431312047,-2.968903024826419,3.971911646025919
3418,1/16,svd_self,cfp,3.0378266617238747,-1.6233783249105733,7.6741792636453585
3418,1/16,svd_self,oct,4.3644535520038445,-2.0312533427887693,10.850511034455725
3418,1/16,svd_self,mean,3.7011401068638596,-0.2393584774420572,7.837546240344237
3418,1/16,svd_scrambled,cfp,3.1033806299555433,-1.2658431540988022,7.606059289205206
3418,1/16,svd_scrambled,oct,2.598476597398769,-2.3004074336223845,7.485840114511511
3418,1/16,svd_scrambled,mean,2.850928613677156,-0.7406760201159992,6.385449567023708
3418,1/16,svd_resample,cfp,2.0784276264117274,-1.7108079050344882,5.885327141599597
3418,1/16,svd_resample,oct,4.377538711458939,-1.750199246738833,10.504928475641972
3418,1/16,svd_resample,mean,3.2279831689353333,-0.5419421685629361,7.026058063075615
3418,1/16,qr_radon,cfp,3.381569015217789,-0.8936358374827742,7.648747156315084
3418,1/16,qr_radon,oct,1.3256445781652082,-4.039698126367754,6.698672165714403
3418,1/16,qr_radon,mean,2.3536067966914986,-1.3516588338081117,6.050878428959565
3418,1/8,no_bridge,cfp,2.2196078423982524,-2.8686063010691063,7.292704338589129
3418,1/8,no_bridge,oct,3.2312680181349918,-3.5113757722148224,10.248277406448189
3418,1/8,no_bridge,mean,2.7254379302666223,-1.5478453052953791,7.170540383191739
3418,1/8,learned,cfp,2.2196078423982524,-2.8686063010691063,7.292704338589129
3418,1/8,learned,oct,3.2312680181349918,-3.5113757722148224,10.248277406448189
3418,1/8,learned,mean,2.7254379302666223,-1.5478453052953791,7.170540383191739
3418,1/8,svd_self,cfp,2.2196078423982524,-2.8686063010691063,7.292704338589129
3418,1/8,svd_self,oct,3.2312680181349918,-3.5113757722148224,10.248277406448189
3418,1/8,svd_self,mean,2.7254379302666223,-1.5478453052953791,7.170540383191739
3418,1/8,svd_scrambled,cfp,2.8984688476668907,-1.4203267154060346,7.259655599730711
3418,1/8,svd_scrambled,oct,-0.7721417311594592,-5.0695584434597665,3.6923340156805873
3418,1/8,svd_scrambled,mean,1.0631635582537158,-2.340477555376212,4.615337486917319
3418,1/8,svd_resample,cfp,2.2196078423982524,-2.196672304523188,6.645634461851907
3418,1/8,svd_resample,oct,2.036323610346724,-4.362304753512017,8.62401640991466
3418,1/8,svd_resample,mean,2.127965726372488,-2.1040960018160293,6.391465980615514
3418,1/8,qr_radon,cfp,0.4227798361494006,-3.68689835830844,4.601502565677743
3418,1/8,qr_radon,oct,0.0,-4.069102187306617,4.096850447055304
3418,1/8,qr_radon,mean,0.2113899180747003,-3.080381817858631,3.5425635615845246
3418,1/4,no_bridge,cfp,2.342040310929705,-2.8011324958816415,7.605387259705861
3418,1/4,no_bridge,oct,2.630107645956681,-4.2501770326066906,9.494231849610198
3418,1/4,no_bridge,mean,2.486073978443193,-2.035266216248419,7.054995004053928
3418,1/4,learned,cfp,2.342040310929705,-2.8011324958816415,7.605387259705861
3418,1/4,learned,oct,2.630107645956681,-4.2501770326066906,9.494231849610198
