seed,method,rho,channel_rank,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,cfp_gain_vs_baseline_pp,oct_gain_vs_baseline_pp,mean_gain_vs_baseline_pp,best_epoch,stop_epoch,total_parameters,bridge_stored,bridge_effective,gpu_minutes,peak_process_mib,directory,summary_sha256
3417,Centered-fit SVD / Radon,1/8,32,1024,68.86775196634352,68.57211357331232,68.71993276982792,5.020114220501284,4.384559356994927,4.702336788748113,9,15,56921476,12582912,12582912,7.403341196183222,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_radon_rho1_8,38913cf51b469c7f4bfb46ff1f3fba93f593f143bd818a4bb6092a06c8f3adfc
3417,Centered-fit SVD / self only,1/8,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,56921476,12582912,6291456,2.551150178599831,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_self_rho1_8,5359bfc02393a3acc85f094d32154699f8618ecca3b969656d415a4e610d4b59
3417,Centered-fit SVD / scrambled Radon,1/8,32,1024,67.56608683741953,68.55200776832125,68.0590473028704,3.7184490915772983,4.364453552003852,4.041451321790589,11,17,56921476,12582912,12582912,5.082438262633514,8012,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_scrambled_rho1_8,19d52bcdffcc11eacf4abd7b147e094f7b7239c0bf619ab80a9dfae117511e85
3417,Centered-fit SVD / linear resampling,1/8,32,1024,64.43569703974093,64.0249495505412,64.23032329514106,0.588059293898695,-0.16260466577620036,0.21272731406125445,6,12,56921476,12582912,12582912,4.164004927683466,8154,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_resample_rho1_8,a035845958795ced6b48ae74efa2643f8113b410615f6b029d2186ecaf7a5175
3417,Centered-fit SVD / Radon,1/4,64,2048,67.77262048020171,69.57236842105263,68.67249445062717,3.9249827343594745,5.384814204735235,4.654898469547362,8,14,94670212,50331648,50331648,4.738510771250003,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_radon_rho1_4,0a8ebdd80e00b1cc9f198f97e73352e6bd54bb38fc371bc032dc3caf852c440c
3417,Centered-fit SVD / self only,1/4,64,2048,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,94670212,50331648,25165824,4.24403368818336,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_self_rho1_4,80b7968c78298e14d7dd710fa3b0158764f384471bb4f29b01353f17832b488c
3417,Centered-fit SVD / scrambled Radon,1/4,64,2048,68.91324200913243,62.30444789755932,65.60884495334588,5.065604263290197,-1.8831063187580739,1.5912489722660723,6,12,94670212,50331648,50331648,8.364536264283378,8144,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_scrambled_rho1_4,061e6160e664a2c917c20ae9ee02149940078be925036212b81c897c01ab01f7
3417,Centered-fit SVD / linear resampling,1/4,64,2048,67.18441053774502,63.171892656979466,65.17815159736224,3.3367727919027885,-1.0156615593379286,1.160555616282437,8,14,94670212,50331648,50331648,8.852845399233532,8096,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3417_centered_svd_resample_rho1_4,87433c749d4d4c5caacf356f84a470df9b9150db7605098af30695cae1614c03
3418,Centered-fit SVD / Radon,1/16,16,512,68.55200776832125,67.84337941839055,68.1976935933559,2.6740188394848587,3.65582520207316,3.1649220207790023,17,23,47484292,3145728,3145728,6.494835246083434,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_radon_rho1_16,cce32d2999ec529f12bd41bf89f6be7e203f2d99fab16a6f9f56f6ed0c280e2d
3418,Centered-fit SVD / self only,1/16,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0.0,0.0,0.0,0,8,47484292,3145728,1572864,2.460192243666582,7906,/data/mengh/RadonBridge/runs/2026_09_05_10_09_52/seed3418_centered_svd_self_rho1_16,60d2a07e3beeb326a714fbb89a884f805b51777e0f3a15618a09bc26208ffeb8
