subset,rho,contrast,branch,difference_pp,ci95_low,ci95_high
3416,1/4,channel_svd_radon__minus__no_bridge,cfp,4.377334693595703,-0.9777042361411772,9.799772137266984
3416,1/4,channel_svd_radon__minus__no_bridge,oct,7.484369061210727,1.3595422696158783,13.829477254657514
3416,1/4,channel_svd_radon__minus__no_bridge,mean,5.930851877403215,1.7113122833844043,10.15574236496684
3416,1/4,channel_svd_radon__minus__learned,cfp,1.3631054220572758,-2.996040455199251,5.663374060514301
3416,1/4,channel_svd_radon__minus__learned,oct,2.4162078024162037,-1.8060163420154096,6.523243525370429
3416,1/4,channel_svd_radon__minus__learned,mean,1.8896566122367398,-2.0149272775835345,5.694272551010927
3416,1/4,channel_svd_radon__minus__qr_radon,cfp,-0.9839769632070228,-5.080910214164902,3.007475997950728
3416,1/4,channel_svd_radon__minus__qr_radon,oct,0.3427757522610819,-3.063464581551588,3.765566429738196
3416,1/4,channel_svd_radon__minus__qr_radon,mean,-0.3206006054729704,-3.4509945998333498,2.7501274751049696
3416,1/4,channel_svd_radon__minus__channel_svd_self,cfp,4.377334693595703,-0.9777042361411772,9.799772137266984
3416,1/4,channel_svd_radon__minus__channel_svd_self,oct,7.484369061210727,1.3595422696158783,13.829477254657514
3416,1/4,channel_svd_radon__minus__channel_svd_self,mean,5.930851877403215,1.7113122833844043,10.15574236496684
3416,1/4,channel_svd_radon__minus__channel_svd_scrambled,cfp,3.0956719960421264,-1.00448499237951,7.137887896260403
3416,1/4,channel_svd_radon__minus__channel_svd_scrambled,oct,2.4598995188864103,-1.755620179758807,6.682203252094135
3416,1/4,channel_svd_radon__minus__channel_svd_scrambled,mean,2.7777857574642684,-0.6785011511585061,6.163475576702984
3416,1/4,channel_svd_radon__minus__channel_svd_resample,cfp,1.6856186377607774,-3.0348327892978837,6.409008934812453
3416,1/4,channel_svd_radon__minus__channel_svd_resample,oct,4.717714256868022,-1.1355054321132783,10.787714860734338
3416,1/4,channel_svd_radon__minus__channel_svd_resample,mean,3.2016664473143996,-0.4583064623390667,6.99715635999968
3417,1/16,channel_svd_radon__minus__svd_radon,cfp,-2.4004363369086623,-7.475874943591504,2.690446393828291
3417,1/16,channel_svd_radon__minus__svd_radon,oct,-5.224726233756217,-10.694466221676285,0.38434628982320806
3417,1/16,channel_svd_radon__minus__svd_radon,mean,-3.8125812853324392,-7.572784591712596,0.05654556728894902
3417,1/16,channel_svd_radon__minus__centered_svd_radon,cfp,-2.955742398382144,-7.408886543758482,1.4169415990641407
3417,1/16,channel_svd_radon__minus__centered_svd_radon,oct,-3.528916343624977,-8.856149508119264,1.9263742158201196
3417,1/16,channel_svd_radon__minus__centered_svd_radon,mean,-3.2423293710035606,-6.807245424640754,0.34616634822330233
3417,1/16,channel_svd_self__minus__svd_self,cfp,0.0,0.0,0.0
3417,1/16,channel_svd_self__minus__svd_self,oct,0.0,0.0,0.0
3417,1/16,channel_svd_self__minus__svd_self,mean,0.0,0.0,0.0
3417,1/16,channel_svd_self__minus__centered_svd_self,cfp,0.0,0.0,0.0
3417,1/16,channel_svd_self__minus__centered_svd_self,oct,0.0,0.0,0.0
3417,1/16,channel_svd_self__minus__centered_svd_self,mean,0.0,0.0,0.0
3417,1/16,channel_svd_scrambled__minus__svd_scrambled,cfp,-4.039808438222536,-8.764746372629217,0.6757667139413289
3417,1/16,channel_svd_scrambled__minus__svd_scrambled,oct,0.6890385734765636,-4.047879445029809,5.33610613197208
3417,1/16,channel_svd_scrambled__minus__svd_scrambled,mean,-1.6753849323729864,-5.14466169263794,1.7413250102051148
3417,1/16,channel_svd_scrambled__minus__centered_svd_scrambled,cfp,-0.6789844078985641,-5.405659906691877,4.042833418998231
3417,1/16,channel_svd_scrambled__minus__centered_svd_scrambled,oct,-3.380013351250166,-7.8241588410151195,1.031852133710181
3417,1/16,channel_svd_scrambled__minus__centered_svd_scrambled,mean,-2.029498879574365,-5.389877501005016,1.3472850433183687
3417,1/16,channel_svd_resample__minus__svd_resample,cfp,0.0,0.0,0.0
3417,1/16,channel_svd_resample__minus__svd_resample,oct,0.0,0.0,0.0
3417,1/16,channel_svd_resample__minus__svd_resample,mean,0.0,0.0,0.0
3417,1/16,channel_svd_resample__minus__centered_svd_resample,cfp,0.0,0.0,0.0
3417,1/16,channel_svd_resample__minus__centered_svd_resample,oct,0.0,0.0,0.0
3417,1/16,channel_svd_resample__minus__centered_svd_resample,mean,0.0,0.0,0.0
3417,1/16,channel_svd_radon__minus__no_bridge,cfp,1.9428898828609542,-2.017727199194571,5.880422482981488
3417,1/16,channel_svd_radon__minus__no_bridge,oct,-0.8487805014628425,-6.045108460628643,4.436910038381091
3417,1/16,channel_svd_radon__minus__no_bridge,mean,0.5470546906990559,-2.723020498116233,3.8539438669011177
3417,1/16,channel_svd_radon__minus__learned,cfp,-1.1013642631887088,-5.491316697666937,3.4833562343398206
3417,1/16,channel_svd_radon__minus__learned,oct,-2.426682558691995,-8.124087622869359,3.394395455867515
3417,1/16,channel_svd_radon__minus__learned,mean,-1.7640234109403519,-5.54698625608286,2.100692795823846
3417,1/16,channel_svd_radon__minus__qr_radon,cfp,1.9428898828609542,-2.017727199194571,5.880422482981488
3417,1/16,channel_svd_radon__minus__qr_radon,oct,-0.8487805014628425,-6.045108460628643,4.436910038381091
3417,1/16,channel_svd_radon__minus__qr_radon,mean,0.5470546906990559,-2.723020498116233,3.8539438669011177
3417,1/16,channel_svd_radon__minus__channel_svd_self,cfp,1.9428898828609542,-2.017727199194571,5.880422482981488
3417,1/16,channel_svd_radon__minus__channel_svd_self,oct,-0.8487805014628425,-6.045108460628643,4.436910038381091
3417,1/16,channel_svd_radon__minus__channel_svd_self,mean,0.5470546906990559,-2.723020498116233,3.8539438669011177
3417,1/16,channel_svd_radon__minus__channel_svd_scrambled,cfp,1.9428898828609542,-2.017727199194571,5.880422482981488
3417,1/16,channel_svd_radon__minus__channel_svd_scrambled,oct,-0.8487805014628425,-6.045108460628643,4.436910038381091
3417,1/16,channel_svd_radon__minus__channel_svd_scrambled,mean,0.5470546906990559,-2.723020498116233,3.8539438669011177
3417,1/16,channel_svd_radon__minus__channel_svd_resample,cfp,1.9428898828609542,-2.017727199194571,5.880422482981488
3417,1/16,channel_svd_radon__minus__channel_svd_resample,oct,-0.8487805014628425,-6.045108460628643,4.436910038381091
3417,1/16,channel_svd_radon__minus__channel_svd_resample,mean,0.5470546906990559,-2.723020498116233,3.8539438669011177
3417,1/8,channel_svd_radon__minus__svd_radon,cfp,-2.3603993427759207,-6.442988544023652,1.7077286869743575
3417,1/8,channel_svd_radon__minus__svd_radon,oct,0.3195102581857956,-4.298372882751072,4.908140700157611
3417,1/8,channel_svd_radon__minus__svd_radon,mean,-1.0204445422950625,-4.4489260684585075,2.3284970497426327
3417,1/8,channel_svd_radon__minus__centered_svd_radon,cfp,-1.3952244938160385,-5.7790415359006655,2.907349236837607
3417,1/8,channel_svd_radon__minus__centered_svd_radon,oct,-0.3651571310617552,-5.702870895366409,4.741968455319566
3417,1/8,channel_svd_radon__minus__centered_svd_radon,mean,-0.8801908124388969,-4.621980721043468,2.7396619263699855
3417,1/8,channel_svd_self__minus__svd_self,cfp,0.0,0.0,0.0
3417,1/8,channel_svd_self__minus__svd_self,oct,0.0,0.0,0.0
3417,1/8,channel_svd_self__minus__svd_self,mean,0.0,0.0,0.0
3417,1/8,channel_svd_self__minus__centered_svd_self,cfp,0.0,0.0,0.0
3417,1/8,channel_svd_self__minus__centered_svd_self,oct,0.0,0.0,0.0
3417,1/8,channel_svd_self__minus__centered_svd_self,mean,0.0,0.0,0.0
3417,1/8,channel_svd_scrambled__minus__svd_scrambled,cfp,0.0,-4.461546663210734,4.563509691636593
3417,1/8,channel_svd_scrambled__minus__svd_scrambled,oct,-4.064005195303222,-10.471567674087055,2.2382833382066964
3417,1/8,channel_svd_scrambled__minus__svd_scrambled,mean,-2.032002597651611,-6.269371190838768,2.197689183712635
