subset,rho,mechanism,branch,centered_minus_uncentered_pp,ci95_low,ci95_high
3416,1/4,svd_scrambled,mean,2.5966434866342922,-1.023164577344573,6.232025798254425
3416,1/4,svd_resample,cfp,0.3750260308048259,-3.475180366241816,4.357340715928407
3416,1/4,svd_resample,oct,1.6312530443103102,-2.9947186119426914,6.3421133307746365
3416,1/4,svd_resample,mean,1.003139537557568,-2.0764005633568097,4.152528326200183
3417,1/16,svd_radon,cfp,0.5553060614734817,-3.7859709523443015,5.023645300095033
3417,1/16,svd_radon,oct,-1.695809890131239,-5.971655566594475,2.519413815773888
3417,1/16,svd_radon,mean,-0.5702519143288787,-3.8894158465707074,2.8387489395729792
3417,1/16,svd_self,cfp,0.0,0.0,0.0
3417,1/16,svd_self,oct,0.0,0.0,0.0
3417,1/16,svd_self,mean,0.0,0.0,0.0
3417,1/16,svd_scrambled,cfp,-3.3608240303239723,-7.77069885756327,0.8842144831335454
3417,1/16,svd_scrambled,oct,4.06905192472673,-0.04104701560104784,8.199137002091778
3417,1/16,svd_scrambled,mean,0.3541139472013788,-2.698706758258092,3.425249885685299
3417,1/16,svd_resample,cfp,0.0,0.0,0.0
3417,1/16,svd_resample,oct,0.0,0.0,0.0
3417,1/16,svd_resample,mean,0.0,0.0,0.0
3417,1/8,svd_radon,cfp,-0.9651748489598821,-4.401043496146332,2.387644699783065
3417,1/8,svd_radon,oct,0.6846673892475508,-2.9743893702288324,4.354078345275099
3417,1/8,svd_radon,mean,-0.1402537298561657,-2.8794379544617366,2.516583077064642
3417,1/8,svd_self,cfp,0.0,0.0,0.0
3417,1/8,svd_self,oct,0.0,0.0,0.0
3417,1/8,svd_self,mean,0.0,0.0,0.0
3417,1/8,svd_scrambled,cfp,2.0271195726612845,-1.768437995700871,6.074603743509752
3417,1/8,svd_scrambled,oct,0.6469686768414751,-3.7131320442946403,5.020628198059753
3417,1/8,svd_scrambled,mean,1.3370441247513798,-2.1367693233115075,4.875159389685892
3417,1/8,svd_resample,cfp,0.5880592938987017,-3.4422397659866917,4.675042810814123
3417,1/8,svd_resample,oct,-0.16260466577621147,-4.903355700111784,4.565028360053993
3417,1/8,svd_resample,mean,0.21272731406124512,-2.9566055958183597,3.3373570491233755
3417,1/4,svd_radon,cfp,-2.142986997501073,-7.047783832548758,2.6829646931311064
3417,1/4,svd_radon,oct,1.0002548477403117,-3.4000366465803635,5.422170138693807
3417,1/4,svd_radon,mean,-0.5713660748803806,-4.8103189395197195,3.6148903423431826
3417,1/4,svd_self,cfp,0.0,0.0,0.0
3417,1/4,svd_self,oct,0.0,0.0,0.0
3417,1/4,svd_self,mean,0.0,0.0,0.0
3417,1/4,svd_scrambled,cfp,0.741198998379744,-4.00796189978981,5.4880042172566785
3417,1/4,svd_scrambled,oct,-5.168079574968154,-11.089705064896254,0.6637443292066575
3417,1/4,svd_scrambled,mean,-2.213440288294205,-6.726352518784329,2.318764824617734
3417,1/4,svd_resample,cfp,1.8019119136393535,-2.0930263408374516,5.703966461703993
3417,1/4,svd_resample,oct,-0.8530568935617211,-5.6645360563938745,3.9890903611278365
3417,1/4,svd_resample,mean,0.4744275100388162,-2.6790369084330345,3.6770059351083657
3418,1/16,svd_radon,cfp,-0.3638078222390151,-4.545532750171159,3.9069200076507133
3418,1/16,svd_radon,oct,-0.7086283499306845,-4.869869792638401,3.418116029076087
3418,1/16,svd_radon,mean,-0.5362180860848498,-3.728996987505876,2.742464959843091
3418,1/16,svd_self,cfp,0.0,0.0,0.0
3418,1/16,svd_self,oct,0.0,0.0,0.0
3418,1/16,svd_self,mean,0.0,0.0,0.0
3418,1/16,svd_scrambled,cfp,3.1008070485277095,-0.6602185768066737,6.903481929083233
3418,1/16,svd_scrambled,oct,-0.07865815849196212,-4.9610449542452235,4.754832554371983
3418,1/16,svd_scrambled,mean,1.5110744450178737,-1.8276899000124451,4.769845616553557
3418,1/16,svd_resample,cfp,-0.9593990353121473,-5.065264258243829,3.182099728209651
3418,1/16,svd_resample,oct,0.013085159455095141,-4.271927636104871,4.27063435012845
3418,1/16,svd_resample,mean,-0.4731569379285261,-3.414211015944632,2.543059720587213
3418,1/8,svd_radon,cfp,-0.27482325908807503,-5.645167050225359,4.892225053267799
3418,1/8,svd_radon,oct,-2.6327320948962285,-8.13041252071869,2.75243698043929
3418,1/8,svd_radon,mean,-1.4537776769921518,-5.8352873993630645,2.856545394113316
3418,1/8,svd_self,cfp,0.0,0.0,0.0
3418,1/8,svd_self,oct,0.0,0.0,0.0
3418,1/8,svd_self,mean,0.0,0.0,0.0
3418,1/8,svd_scrambled,cfp,-0.17245743317485518,-4.764774675640671,4.413747287409598
