id,backbone_lr,positive,negative,primary,difference_pp,ci95_pp,simultaneous_ci95_pp,zero_variance,classification
bb3e-05_svd_rho1_8_minus_attention_d128,3e-05,svd_rho1_8,attention_d128,True,0.17949097644153178,"[-2.7170741530842517, 3.0172685851184307]","[-4.397168324199253, 4.756150277082316]",False,unresolved
bb3e-05_svd_rho1_8_minus_attention_d256,3e-05,svd_rho1_8,attention_d256,True,0.18783848847920126,"[-2.7355225196096873, 3.1167863056291965]","[-4.514087963323062, 4.889764940281465]",False,unresolved
bb3e-05_svd_rho1_4_minus_concat_mlp,3e-05,svd_rho1_4,concat_mlp,True,0.4235007428271585,"[-3.0249969938996766, 3.733636010127272]","[-4.898629058741883, 5.7456305443962]",False,unresolved
bb3e-05_svd_rho1_4_minus_gated_mil,3e-05,svd_rho1_4,gated_mil,True,0.8823046165541513,"[-2.7529440240683343, 4.447056431407611]","[-4.811507381188332, 6.576116614296635]",False,unresolved
bb3e-05_svd_rho1_4_minus_mmtm_r4,3e-05,svd_rho1_4,mmtm_r4,True,0.8679919275447503,"[-2.6875503274163033, 4.314256156844591]","[-4.6719194835516245, 6.407903338641125]",False,unresolved
bb3e-05_svd_rho1_4_minus_mmtm_r8,3e-05,svd_rho1_4,mmtm_r8,True,-2.2953746262893944,"[-5.65404815561868, 1.0536450587512052]","[-7.55418378203387, 2.963434529455081]",False,unresolved
bb3e-05_svd_rho1_4_minus_attention_d128,3e-05,svd_rho1_4,attention_d128,True,-1.1767388821129572,"[-4.506676898951587, 2.1245467767867536]","[-6.412542977808629, 4.0590652135827145]",False,unresolved
bb3e-05_svd_rho1_4_minus_attention_d256,3e-05,svd_rho1_4,attention_d256,True,-1.1683913700752788,"[-4.533640084071606, 2.129694153401459]","[-6.408334166180607, 4.07155142603005]",False,unresolved
bb6e-05_svd_rho1_16_minus_concat_mlp,6e-05,svd_rho1_16,concat_mlp,True,0.729609326550321,"[-2.5041184427964467, 3.8896545997139946]","[-4.348138682186637, 5.8073573352872785]",False,unresolved
bb6e-05_svd_rho1_16_minus_gated_mil,6e-05,svd_rho1_16,gated_mil,True,1.7867782172659332,"[-1.2456957039070815, 4.783780987166454]","[-3.0148621494984376, 6.588418584030304]",False,unresolved
bb6e-05_svd_rho1_16_minus_mmtm_r4,6e-05,svd_rho1_16,mmtm_r4,True,1.176436277355137,"[-2.1330918081660357, 4.418118198108326]","[-4.012987107915375, 6.365859662625649]",False,unresolved
bb6e-05_svd_rho1_16_minus_mmtm_r8,6e-05,svd_rho1_16,mmtm_r8,True,1.5519175598728494,"[-1.6161720425382624, 4.810552033843613]","[-3.4654419457365893, 6.569277065482288]",False,unresolved
bb6e-05_svd_rho1_16_minus_attention_d128,6e-05,svd_rho1_16,attention_d128,True,0.43944472029912873,"[-2.4108505675651366, 3.227501373626091]","[-4.049849131470882, 4.92873857206914]",False,unresolved
bb6e-05_svd_rho1_16_minus_attention_d256,6e-05,svd_rho1_16,attention_d256,True,1.802234182850281,"[-0.9102525892849633, 4.528531080503236]","[-2.5432979525294153, 6.147766318229977]",False,unresolved
bb6e-05_svd_rho1_8_minus_concat_mlp,6e-05,svd_rho1_8,concat_mlp,True,-0.4645387925183684,"[-3.7883665134377313, 2.8313357636108605]","[-5.677589482566049, 4.748511897529312]",False,unresolved
bb6e-05_svd_rho1_8_minus_gated_mil,6e-05,svd_rho1_8,gated_mil,True,0.5926300981972439,"[-2.4532038330142854, 3.6153052261083904]","[-4.259412808408653, 5.444673004803141]",False,unresolved
bb6e-05_svd_rho1_8_minus_mmtm_r4,6e-05,svd_rho1_8,mmtm_r4,True,-0.017711841713555998,"[-3.5536471203655084, 3.4990030754143313]","[-5.58433981196066, 5.548916128533548]",False,unresolved
bb6e-05_svd_rho1_8_minus_mmtm_r8,6e-05,svd_rho1_8,mmtm_r8,True,0.3577694408041623,"[-2.8487470976559934, 3.6025284676041256]","[-4.761201974527503, 5.4767408561358275]",False,unresolved
bb6e-05_svd_rho1_8_minus_attention_d128,6e-05,svd_rho1_8,attention_d128,True,-0.7547033987695642,"[-3.705416727665893, 2.1220249193409524]","[-5.398699960206143, 3.8892931626670144]",False,unresolved
bb6e-05_svd_rho1_8_minus_attention_d256,6e-05,svd_rho1_8,attention_d256,True,0.6080860637815917,"[-2.525547730593375, 3.6538457743203314]","[-4.2753248951844665, 5.49149702274765]",False,unresolved
bb6e-05_svd_rho1_4_minus_concat_mlp,6e-05,svd_rho1_4,concat_mlp,True,-0.2849550029768475,"[-3.934311651798101, 3.345138538835867]","[-6.0930305668265685, 5.523120560872874]",False,unresolved
bb6e-05_svd_rho1_4_minus_gated_mil,6e-05,svd_rho1_4,gated_mil,True,0.7722138877387721,"[-2.6725200522227834, 4.1080995502927005]","[-4.67497511111312, 6.2194028865906645]",False,unresolved
bb6e-05_svd_rho1_4_minus_mmtm_r4,6e-05,svd_rho1_4,mmtm_r4,True,0.16187194782797576,"[-3.4543239319446375, 3.754284571253658]","[-5.545590985786535, 5.869334881442486]",False,unresolved
bb6e-05_svd_rho1_4_minus_mmtm_r8,6e-05,svd_rho1_4,mmtm_r8,True,0.5373532303456834,"[-3.2362775454195796, 4.323530063801342]","[-5.434654857284504, 6.509361317975871]",False,unresolved
bb6e-05_svd_rho1_4_minus_attention_d128,6e-05,svd_rho1_4,attention_d128,True,-0.5751196092280324,"[-3.5772094413337405, 2.426896604820022]","[-5.33453122870024, 4.184292010244175]",False,unresolved
bb6e-05_svd_rho1_4_minus_attention_d256,6e-05,svd_rho1_4,attention_d256,True,0.7876698533231128,"[-2.351678160307128, 3.9437838630809856]","[-4.2329489911633145, 5.80828869780954]",False,unresolved
bb3e-05_gated_mil_minus_concat_mlp,3e-05,gated_mil,concat_mlp,False,-0.4588038737269926,"[-2.895283536658562, 2.024289596273071]",,False,unclassified
bb6e-05_gated_mil_minus_concat_mlp,6e-05,gated_mil,concat_mlp,False,-1.0571688907156158,"[-3.7495094984780275, 1.6614267028771268]",,False,unclassified
