id,seed,backbone_lr,arm,rho,r,h,cfp_f1_percent,oct_f1_percent,fusion_f1_percent,native_probability_average_f1_percent,mean_native_f1_percent,parameters,fusion_parameters,communication_parameters,best_epoch,stop_epoch,gpu_seconds,peak_process_mib
seed3416_bb6e-05_svd_rho1_16,3416,6e-05,svd_rho1_16,0.0625,16,512,70.25804978305548,69.08525494337852,71.95913941676653,72.79411764705883,69.67165236321699,47747206,262914,3145728,14,20,530.1196549010056,7910
seed3416_bb6e-05_svd_rho1_8,3416,6e-05,svd_rho1_8,0.125,32,1024,70.15992301700041,69.21424081376078,71.24407108977655,71.22828684803366,69.6870819153806,57184390,262914,12582912,12,18,322.8002192650165,7978
seed3416_bb6e-05_svd_rho1_4,3416,6e-05,svd_rho1_4,0.25,64,2048,68.82082624347443,68.59633746944047,70.23819154714714,69.96171410120394,68.70858185645746,94933126,262914,50331648,7,13,294.1529974099831,8148
seed3416_bb6e-05_mmtm_r4,3416,6e-05,mmtm_r4,,,,64.52338283470499,64.0249495505412,71.86666208618182,71.18875032922234,64.2741661926231,44864390,262914,262912,11,17,275.0862536059867,7932
seed3416_bb6e-05_mmtm_r8,3416,6e-05,mmtm_r8,,,,63.18407960199004,54.0389014662131,68.88340417752183,66.16059996341687,58.61149053410158,44733190,262914,131712,4,10,300.48145205900073,7930
seed3416_bb6e-05_attention_d128,3416,6e-05,attention_d128,,,,64.86326074053783,66.81766186227408,70.59166124224879,72.21611721611723,65.84046130140595,44865926,262914,264448,9,15,247.48248654100462,8140
seed3416_bb6e-05_attention_d256,3416,6e-05,attention_d256,,,,67.84337941839055,68.91749988586038,68.52036090431919,69.17760410110881,68.38043965212547,45128838,262914,527360,14,20,578.8910548519925,8180
seed3417_bb3e-05_concat_mlp,3417,3e-05,concat_mlp,,,,60.045756119881034,55.98487243434379,65.19912792356774,64.34757671350731,58.01531427711242,44601478,262914,0,6,12,195.669472915004,7800
seed3417_bb3e-05_gated_mil,3417,3e-05,gated_mil,,,,63.486842105263165,62.4961475681167,67.90210827901879,65.87487301243051,62.99149483668993,44864390,525826,0,11,17,470.866257732996,7804
seed3417_bb3e-05_svd_rho1_16,3417,3e-05,svd_rho1_16,0.0625,16,512,65.84680413548867,65.87798892883639,70.10512785199468,68.90614295501256,65.86239653216252,47747206,262914,3145728,12,18,309.2845289980178,7910
seed3417_bb3e-05_svd_rho1_8,3417,3e-05,svd_rho1_8,0.125,32,1024,69.2283086765294,65.02667049039289,69.21424081376078,67.44718874581864,67.12748958346114,57184390,262914,12582912,8,14,410.96369079500437,7978
