arm,seed,r,stages,phase,split,source,bridge,C,rho,h,M,S,k,group,participants,metric,mean,sample_sd,defined_participants,undefined_participants
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,total_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,self_cross_cosine,,,0,148
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,energy_identity_relative_error,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,channel_energy_retained,0.6810298577026515,0.03456383926326756,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,self_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,cross_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,total_relative,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,self_cross_cosine,,,0,148
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,energy_identity_relative_error,0.0,0.0,148,0
svd_radon,3416,16,[3],constructed_initial,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,channel_energy_retained,0.685912303492027,0.03855647967274525,148,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,self_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,cross_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,total_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,self_cross_cosine,,,0,290
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,energy_identity_relative_error,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,channel_energy_retained,0.6503530464625678,0.02521027993973756,290,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,self_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,cross_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,total_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,self_cross_cosine,,,0,145
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,energy_identity_relative_error,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label0,145,channel_energy_retained,0.6499469933439554,0.025050321575886842,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,self_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,cross_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,total_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,self_cross_cosine,,,0,145
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,energy_identity_relative_error,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,cfp_stage3,0,256,0.0625,512,32,64,3,label1,145,channel_energy_retained,0.6507590995811801,0.02544954554955614,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,self_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,cross_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,total_relative,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,self_cross_cosine,,,0,290
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,energy_identity_relative_error,0.0,0.0,290,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,all,290,channel_energy_retained,0.6796112621559266,0.04277154658748663,290,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,self_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,cross_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,total_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,self_cross_cosine,,,0,145
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,energy_identity_relative_error,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label0,145,channel_energy_retained,0.6809488544343032,0.04515597737659962,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,self_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,cross_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,total_relative,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,self_cross_cosine,,,0,145
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,energy_identity_relative_error,0.0,0.0,145,0
svd_radon,3416,16,[3],constructed_initial,test,oct_stage3,0,256,0.0625,512,32,64,3,label1,145,channel_energy_retained,0.6782736698775501,0.04035900332442017,145,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,self_relative,0.4255588717419504,0.013811922434503106,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,cross_relative,0.319174886782735,0.028647671645947462,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,total_relative,0.6180451460298707,0.031025432036395035,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,self_cross_cosine,0.3637823561469208,0.04433309122882914,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,energy_identity_relative_error,7.444430000526845e-17,6.387125327219362e-17,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,all,1264,channel_energy_retained,0.5861352008817019,0.021594504401755355,1264,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,self_relative,0.4275002229231422,0.012641767729500788,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,cross_relative,0.3365315234554907,0.02466227914194237,632,0
svd_radon,3416,16,[3],selected,train,cfp_stage3,0,256,0.0625,512,32,64,3,label0,632,total_relative,0.6355881158574067,0.02636342117981277,632,0
