arm,bridge,checkpoint_sha256,dc_gain,kernel,maximum_gain,minimum_gain,nyquist_gain,r,receiver,role,seed,sender,stages,width_in,width_out,zero_operator
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,4.100064945321715,3,4.100064945321715,0.27657568495720125,1.3566756963443836,32,oct_stage3,cross,3417,cfp_stage3,[3],1024,1024,False
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,2.7372648205372356,3,2.7372648205372356,0.14859023156870413,0.9085419678461426,32,oct_stage3,self,3417,oct_stage3,[3],1024,1024,False
svd_radon,0,69c0fd47fbced2121cb19547ea2c1b4c177923f242468913b661c34efac81ea7,7.515122118492805,3,7.515122118492805,0.6708889277986625,2.4692510464868205,64,cfp_stage3,self,3417,cfp_stage3,[3],2048,2048,False
svd_radon,0,69c0fd47fbced2121cb19547ea2c1b4c177923f242468913b661c34efac81ea7,6.27546497595674,3,6.27546497595674,0.4204291957597007,2.0755889828371292,64,cfp_stage3,cross,3417,oct_stage3,[3],2048,2048,False
svd_radon,0,69c0fd47fbced2121cb19547ea2c1b4c177923f242468913b661c34efac81ea7,7.354910075814329,3,7.354910075814329,0.4174330281134542,2.438234160030404,64,oct_stage3,cross,3417,cfp_stage3,[3],2048,2048,False
svd_radon,0,69c0fd47fbced2121cb19547ea2c1b4c177923f242468913b661c34efac81ea7,5.71431882208864,3,5.71431882208864,0.2623074005704777,1.8990699889202152,64,oct_stage3,self,3417,oct_stage3,[3],2048,2048,False
qr_radon,0,bbf675758e301776db86d8dc413b6885d88fe458ae42c2ccbb472fc21ffe98b7,0.0,3,0.0,0.0,0.0,16,cfp_stage3,self,3417,cfp_stage3,[3],512,512,True
qr_radon,0,bbf675758e301776db86d8dc413b6885d88fe458ae42c2ccbb472fc21ffe98b7,0.0,3,0.0,0.0,0.0,16,cfp_stage3,cross,3417,oct_stage3,[3],512,512,True
qr_radon,0,bbf675758e301776db86d8dc413b6885d88fe458ae42c2ccbb472fc21ffe98b7,0.0,3,0.0,0.0,0.0,16,oct_stage3,cross,3417,cfp_stage3,[3],512,512,True
qr_radon,0,bbf675758e301776db86d8dc413b6885d88fe458ae42c2ccbb472fc21ffe98b7,0.0,3,0.0,0.0,0.0,16,oct_stage3,self,3417,oct_stage3,[3],512,512,True
svd_resample,0,3d51f9d8ee6c92e2d3fe6caee768a153d3d1daeba251977f5520d596e529795e,0.0,3,0.0,0.0,0.0,16,cfp_stage3,self,3417,cfp_stage3,[3],512,512,True
svd_resample,0,3d51f9d8ee6c92e2d3fe6caee768a153d3d1daeba251977f5520d596e529795e,0.0,3,0.0,0.0,0.0,16,cfp_stage3,cross,3417,oct_stage3,[3],512,512,True
svd_resample,0,3d51f9d8ee6c92e2d3fe6caee768a153d3d1daeba251977f5520d596e529795e,0.0,3,0.0,0.0,0.0,16,oct_stage3,cross,3417,cfp_stage3,[3],512,512,True
svd_resample,0,3d51f9d8ee6c92e2d3fe6caee768a153d3d1daeba251977f5520d596e529795e,0.0,3,0.0,0.0,0.0,16,oct_stage3,self,3417,oct_stage3,[3],512,512,True
svd_multidepth,0,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.5106877006633301,3,1.5106877006633301,0.2899731588075217,0.47601078526679896,16,cfp_stage2,self,3417,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.5705298267502688,3,1.5705298267502688,0.21266039240180612,0.5072810742344762,16,cfp_stage2,cross,3417,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,0,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.499488746533986,3,1.499488746533986,0.11700544307138039,0.49428173118149243,16,oct_stage2,cross,3417,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.4484385204056454,3,1.4484385204056454,0.08871098819733719,0.47960195993988625,16,oct_stage2,self,3417,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,1,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.396202593361692,3,1.396202593361692,0.1928335097304096,0.45190478090217223,16,cfp_stage3,self,3417,cfp_stage3,"[2, 3]",512,512,False
svd_multidepth,1,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,1.011451395743636,3,1.011451395743636,0.09969467536780978,0.33288133166074957,16,cfp_stage3,cross,3417,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,1,ba2eaf6db7fc6ef41b2a57a4a65a0a753bf0ada168a487003230d9321a7c4592,2.005804674522622,3,2.005804674522622,0.14064416563117269,0.6629012982061254,16,oct_stage3,cross,3417,cfp_stage3,"[2, 3]",512,512,False
