defined,mean,metric,phase,sample_sd,seed,source,split,undefined
16,0.0009638802056158746,low_band_nrmse,constructed_initial,1.098658847090673e-05,3417,cfp,validation,0
16,0.0027477154816533925,absolute_rmse,constructed_initial,7.685074628674407e-05,3417,cfp,validation,0
16,1.4560611860231636,reference_rms,constructed_initial,0.03803559215417751,3417,cfp,validation,0
16,0.00039034992445271253,zeroth_moment_l1_normalized,constructed_initial,7.880466431868165e-06,3417,cfp,validation,0
16,8.277530228926653e-05,first_moment_l1_radius_normalized,constructed_initial,2.9298378082441177e-06,3417,cfp,validation,0
16,0.002453917783999624,full_band_nrmse,constructed_initial,5.934488778277693e-05,3417,oct,validation,0
16,0.001511425972140712,low_band_nrmse,constructed_initial,2.193492186956275e-05,3417,oct,validation,0
16,0.0051770385710100415,absolute_rmse,constructed_initial,0.0001798205068054613,3417,oct,validation,0
16,2.1103947281960784,reference_rms,constructed_initial,0.07701763205540389,3417,oct,validation,0
16,0.0008404173032820694,zeroth_moment_l1_normalized,constructed_initial,8.821545446031336e-06,3417,oct,validation,0
16,5.874434751459362e-05,first_moment_l1_radius_normalized,constructed_initial,4.783920665398325e-06,3417,oct,validation,0
16,0.0018914675256241666,full_band_nrmse,constructed_initial,5.287449500796087e-05,3417,cfp,test,0
16,0.0009577637493333084,low_band_nrmse,constructed_initial,1.6525642149715443e-05,3417,cfp,test,0
16,0.0027359929538959167,absolute_rmse,constructed_initial,9.299431546118454e-05,3417,cfp,test,0
16,1.4469770388306715,reference_rms,constructed_initial,0.048049312013365895,3417,cfp,test,0
16,0.0003908836965446516,zeroth_moment_l1_normalized,constructed_initial,7.79367005043397e-06,3417,cfp,test,0
16,8.271429147103425e-05,first_moment_l1_radius_normalized,constructed_initial,3.412261449878348e-06,3417,cfp,test,0
16,0.002450527197179443,full_band_nrmse,constructed_initial,5.9418225118340025e-05,3417,oct,test,0
16,0.0015035717348657008,low_band_nrmse,constructed_initial,2.285989575567151e-05,3417,oct,test,0
16,0.005265293475239978,absolute_rmse,constructed_initial,0.00019252623853741337,3417,oct,test,0
16,2.1500103109453774,reference_rms,constructed_initial,0.09990361406299518,3417,oct,test,0
16,0.0008413731994496316,zeroth_moment_l1_normalized,constructed_initial,1.075981099133178e-05,3417,oct,test,0
16,5.954996317794198e-05,first_moment_l1_radius_normalized,constructed_initial,7.181605372091389e-06,3417,oct,test,0
16,0.0017743841724395923,full_band_nrmse,selected,2.5521526796077465e-05,3417,cfp,train,0
16,0.0009276867073689605,low_band_nrmse,selected,8.764943228534569e-06,3417,cfp,train,0
16,0.0024984859778161917,absolute_rmse,selected,8.289894030331188e-05,3417,cfp,train,0
16,1.4079259452510662,reference_rms,selected,0.03554043288537704,3417,cfp,train,0
16,0.00037675474012221637,zeroth_moment_l1_normalized,selected,5.337288426770598e-06,3417,cfp,train,0
16,8.856936826407504e-05,first_moment_l1_radius_normalized,selected,3.651406308805931e-06,3417,cfp,train,0
16,0.002388439911409999,full_band_nrmse,selected,5.317173112175754e-05,3417,oct,train,0
16,0.0015110052499037563,low_band_nrmse,selected,2.1954887850356054e-05,3417,oct,train,0
16,0.004923260420742154,absolute_rmse,selected,0.00019119131208028222,3417,oct,train,0
16,2.0613725539469816,reference_rms,selected,0.06740770973978608,3417,oct,train,0
16,0.0008573803432197962,zeroth_moment_l1_normalized,selected,6.3600434259310565e-06,3417,oct,train,0
16,5.865214928735462e-05,first_moment_l1_radius_normalized,selected,5.089647970635564e-06,3417,oct,train,0
16,0.0017921802734792783,full_band_nrmse,selected,2.398185826126583e-05,3417,cfp,validation,0
16,0.0009297456757421342,low_band_nrmse,selected,7.381105026592466e-06,3417,cfp,validation,0
16,0.0025496455374275574,absolute_rmse,selected,7.589212270215269e-05,3417,cfp,validation,0
16,1.4225044118398396,reference_rms,selected,0.031240468234496506,3417,cfp,validation,0
16,0.00038036196653095164,zeroth_moment_l1_normalized,selected,8.701763124350646e-06,3417,cfp,validation,0
16,8.845642888261144e-05,first_moment_l1_radius_normalized,selected,2.86857863492496e-06,3417,cfp,validation,0
16,0.002386916687633143,full_band_nrmse,selected,4.871774449401503e-05,3417,oct,validation,0
16,0.0015114079850869027,low_band_nrmse,selected,1.7573601111447252e-05,3417,oct,validation,0
16,0.004877141229998715,absolute_rmse,selected,0.00011269792679988919,3417,oct,validation,0
16,2.043687181406126,reference_rms,selected,0.047415161990646694,3417,oct,validation,0
