id,kind,seed,mode,best_epoch,stop_epoch,seconds,cfp_f1_percent,oct_f1_percent,branch_mean_f1_percent,host,backbone_lr,host_best_epoch,state
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample_new_only,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample_both_off,component_diagnostic,3417,linear_resample,,,,63.847637745842235,64.1875542163174,64.01759598107981,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon_both_on,component_diagnostic,3418,radon,,,,68.91891891891892,64.70372408732344,66.81132150312118,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon_host_only,component_diagnostic,3418,radon,,,,56.62609748713291,51.64562412146847,54.13586080430069,mmtm_hidden256,3e-05,0,host_only
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon_new_only,component_diagnostic,3418,radon,,,,68.22002923976609,65.46328071379548,66.84165497678079,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon_both_off,component_diagnostic,3418,radon,,,,50.37751307745635,47.165387894288145,48.77145048587225,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample_both_on,component_diagnostic,3418,linear_resample,,,,65.87798892883639,64.1875542163174,65.03277157257689,mmtm_hidden256,3e-05,0,both_on
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample_host_only,component_diagnostic,3418,linear_resample,,,,65.87798892883639,64.1875542163174,65.03277157257689,mmtm_hidden256,3e-05,0,host_only
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample_new_only,component_diagnostic,3418,linear_resample,,,,65.87798892883639,64.1875542163174,65.03277157257689,mmtm_hidden256,3e-05,0,new_only
switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample_both_off,component_diagnostic,3418,linear_resample,,,,65.87798892883639,64.1875542163174,65.03277157257689,mmtm_hidden256,3e-05,0,both_off
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon_both_on,component_diagnostic,3416,radon,,,,71.10935041969525,68.86775196634352,69.98855119301939,mmtm_hidden256,6e-05,0,both_on
switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon_host_only,component_diagnostic,3416,radon,,,,44.872873756673606,36.26794258373206,40.57040817020283,mmtm_hidden256,6e-05,0,host_only
