id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
qr_geometry_seeds[3416]_rhos[0.125]_branches[0],False,[3416],[0.125],['cfp'],4.319469671353076,-0.6895272652783753,9.326794117751563,,,2.540370314986645,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3416]_rhos[0.125]_branches[1],False,[3416],[0.125],['oct'],4.1181449820682445,-1.9792499074744956,10.168493831450823,,,3.117803495170742,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3416]_rhos[0.125]_branches[0, 1]",False,[3416],[0.125],"['cfp', 'oct']",4.21880732671066,0.19141294913257942,8.144264345276264,,,2.041574670946754,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3416]_rhos[0.25]_branches[0],False,[3416],[0.25],['cfp'],4.044735527751257,-0.7722067183306578,8.840009207963025,,,2.4568034993479353,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3416]_rhos[0.25]_branches[1],False,[3416],[0.25],['oct'],5.723374467241555,-0.16020504870829103,11.818999516920467,,,3.0242942729321314,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3416]_rhos[0.25]_branches[0, 1]",False,[3416],[0.25],"['cfp', 'oct']",4.884054997496406,0.7068729803793963,8.96565256185804,,,2.1134556422543054,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3417],"[0.0625, 0.125, 0.25]",['cfp'],2.1865031539777675,-0.5035539842578961,4.982048830097452,,,1.3948843409100091,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3417],"[0.0625, 0.125, 0.25]",['oct'],1.5703461622629575,-1.8824305501013967,5.02714800078235,,,1.7751443111852343,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3417],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",1.8784246581203625,-0.511509772790117,4.227216570918011,,,1.1922472408520275,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3417]_rhos[0.0625]_branches[0],False,[3417],[0.0625],['cfp'],0.0,0.0,0.0,,,0.0,secondary_no_simultaneous_classification,True
qr_geometry_seeds[3417]_rhos[0.0625]_branches[1],False,[3417],[0.0625],['oct'],0.0,0.0,0.0,,,0.0,secondary_no_simultaneous_classification,True
"qr_geometry_seeds[3417]_rhos[0.0625]_branches[0, 1]",False,[3417],[0.0625],"['cfp', 'oct']",0.0,-7.105427357601002e-15,7.105427357601002e-15,,,3.820620088127164e-15,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3417]_rhos[0.125]_branches[0],False,[3417],[0.125],['cfp'],5.222372703478555,0.22217639229729863,10.199728411445532,,,2.5279307440039074,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3417]_rhos[0.125]_branches[1],False,[3417],[0.125],['oct'],-0.7157319209656876,-6.547750516110284,5.078692226324419,,,2.984885104421639,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3417]_rhos[0.125]_branches[0, 1]",False,[3417],[0.125],"['cfp', 'oct']",2.253320391256434,-1.7232224110796877,6.254056966056304,,,2.0368441950577,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3417]_rhos[0.25]_branches[0],False,[3417],[0.25],['cfp'],1.337136758454733,-3.6207762189347887,6.232740164739156,,,2.4921619765588687,secondary_no_simultaneous_classification,False
qr_geometry_seeds[3417]_rhos[0.25]_branches[1],False,[3417],[0.25],['oct'],5.426770407754546,-1.1653591279140796,12.11719015360824,,,3.4132159842757543,secondary_no_simultaneous_classification,False
"qr_geometry_seeds[3417]_rhos[0.25]_branches[0, 1]",False,[3417],[0.25],"['cfp', 'oct']",3.3819535831046394,-1.001677586954444,7.881091791866544,,,2.2709524767804012,secondary_no_simultaneous_classification,False
