method,rho,seed_subset,difference_pp,ci95_low,ci95_high
Centered-fit SVD / self only,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Centered-fit SVD / self only,1/16,[3416],0.0,0.0,0.0
Centered-fit SVD / self only,1/16,[3417],0.0,0.0,0.0
Centered-fit SVD / self only,1/16,[3418],0.0,0.0,0.0
Centered-fit SVD / scrambled Radon,1/16,"[3416, 3417, 3418]",0.6644676106895157,-2.228067740503958,3.4987015596334965
Centered-fit SVD / scrambled Radon,1/16,[3416],-2.730640612498525,-7.432534230887346,1.7210270738395035
Centered-fit SVD / scrambled Radon,1/16,[3417],4.028069114270871,-0.4628870762870949,8.53562299322396
Centered-fit SVD / scrambled Radon,1/16,[3418],0.6959743302962007,-4.067285323224273,5.472209886482754
Centered-fit SVD / linear resampling,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Centered-fit SVD / linear resampling,1/16,[3416],0.0,0.0,0.0
Centered-fit SVD / linear resampling,1/16,[3417],0.0,0.0,0.0
Centered-fit SVD / linear resampling,1/16,[3418],0.0,0.0,0.0
Centered-fit SVD / Radon,1/8,"[3416, 3417, 3418]",3.050101280309621,-0.2743339231492222,6.526938197360895
Centered-fit SVD / Radon,1/8,[3416],3.3874005335044255,-1.3049636322832565,8.221864219777588
Centered-fit SVD / Radon,1/8,[3417],5.0585052091703275,-0.35714995740685107,10.599348695948368
Centered-fit SVD / Radon,1/8,[3418],0.7043980982541109,-4.587792558962058,6.053689145492606
Centered-fit SVD / self only,1/8,"[3416, 3417, 3418]",0.0,0.0,0.0
Centered-fit SVD / self only,1/8,[3416],0.0,0.0,0.0
Centered-fit SVD / self only,1/8,[3417],0.0,0.0,0.0
Centered-fit SVD / self only,1/8,[3418],0.0,0.0,0.0
Centered-fit SVD / scrambled Radon,1/8,"[3416, 3417, 3418]",0.18196633051004163,-3.1920535285734193,3.6566755978855743
Centered-fit SVD / scrambled Radon,1/8,[3416],-1.7424276572567954,-6.812239329936237,3.2095185955385612
Centered-fit SVD / scrambled Radon,1/8,[3417],4.372391493923855,-1.0634632372969857,10.03696739437872
Centered-fit SVD / scrambled Radon,1/8,[3418],-2.084064845136935,-7.418779627378851,3.2152260213264903
Centered-fit SVD / linear resampling,1/8,"[3416, 3417, 3418]",0.4882874180525872,-1.0809670004718377,2.031611637691408
Centered-fit SVD / linear resampling,1/8,[3416],0.0,0.0,0.0
Centered-fit SVD / linear resampling,1/8,[3417],1.4648622541577616,-3.2429010014155133,6.094834913074225
Centered-fit SVD / linear resampling,1/8,[3418],0.0,0.0,0.0
Centered-fit SVD / Radon,1/4,"[3416, 3417, 3418]",1.6404892377969047,-2.164698083217633,5.403226780248223
Centered-fit SVD / Radon,1/4,[3416],2.2573572864615365,-2.7603080542279232,7.389304623829599
Centered-fit SVD / Radon,1/4,[3417],3.9957416725483252,-1.7630451565219107,9.781615073108744
Centered-fit SVD / Radon,1/4,[3418],-1.331631245619147,-7.436067048513964,4.695870666022205
Centered-fit SVD / self only,1/4,"[3416, 3417, 3418]",0.0,0.0,0.0
