id,seed,method,rho,r,h,M,S,cfp_f1_percent,oct_f1_percent,mean_branch_f1_percent,fused_f1_percent,cfp_gain_pp,oct_gain_pp,mean_gain_pp,best_epoch,stop_epoch,total_parameters,stored_bridge_parameters,effective_bridge_parameters,training_gpu_minutes,peak_process_mib,summary_sha256,predictions_sha256,checkpoint_sha256,parent_cfp_sha256,parent_oct_sha256
seed3416_channel_svd_scrambled_rho1_4,3416,Learned channel / Scrambled Radon,1/4,64,2048,32,64,68.17204301075267,70.15992301700041,69.16598301387654,70.60508863446985,1.2816626975535712,5.024469542324326,3.1530661199389556,9,13,94735748,50397184,50397184,4.444868070049901,8114,78254c73bafc7a3457f83f4390bcaaed3bf898fd2ceb269ddca32a0967ea899f,43ef19e9a10b8c498932f1f4d984cb6f89feb512c989233731abb0dddf5d1074,9bb95fc946d83e1309715f2d961a39ac97a7db5d79d65127e5a2454554c5c369,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_channel_svd_resample_rho1_4,3416,Learned channel / Linear resampling,1/4,64,2048,N/A (packing32),64,69.58209636903403,67.90210827901879,68.7421023240264,70.93400319707696,2.691716055834931,2.766654804342707,2.729185430088819,15,21,94735748,50397184,50397184,6.291488256983333,8132,418052fd0735d6f40133545f2b5702ec9002883cf6b653a0ad5559e6da55c25f,1f3450bf2ad1d04196ceda606f9d5c24cc089650263e5c98fa654797afa7b6aa,d864305aef60fa6fb773d68a7e0cf236463ad75589f5df110a8c0f0897692b05,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3417_channel_svd_radon_rho1_16,3417,Learned channel / Radon,1/16,16,512,32,64,65.79052762870319,63.338773714854554,64.56465067177888,66.91212906943245,1.9428898828609533,-0.8487805014628407,0.5470546906990705,6,12,47500676,3162112,3162112,3.431469576949894,7906,5a7ea839a48439e5346429d586f9ef4c93f4b6bd70004246fc0e7b61474eeedb,9ed8e7164f80a34b0552f2766addcb35d8a7eb20ce6fc3c8156a4a943fba37b8,d0589fab469fe575bdecbd4b4f52951d11032bfb4977edc8ac5ff03ff2d3b13f,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_self_rho1_16,3417,Learned channel / Self only,1/16,16,512,32,64,63.847637745842235,64.1875542163174,64.01759598107981,63.847637745842235,0.0,0.0,0.0,0,8,47500676,3162112,1589248,2.3878311698332255,7906,2d96578f42df41eda474728db157f1b148474b3ea38cd19b66bcfc3207ec054e,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,559cbefbeebe2c1d6ceb1f872842ed7963a58e892542998a4e7b79dd7c1650de,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_scrambled_rho1_16,3417,Learned channel / Scrambled Radon,1/16,16,512,32,64,63.847637745842235,64.1875542163174,64.01759598107981,63.847637745842235,0.0,0.0,0.0,0,8,47500676,3162112,3162112,2.4073863336833408,7906,3f45fcfddcf0903140a3f5eeb2880ac19c35827e9afdad197c92a591ef17b6fc,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,4bdc4e0bfa302f1b8c2dd2c7d261f69966ca3c6b88585a22d3db213d6fe21c97,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_resample_rho1_16,3417,Learned channel / Linear resampling,1/16,16,512,N/A (packing32),64,63.847637745842235,64.1875542163174,64.01759598107981,63.847637745842235,0.0,0.0,0.0,0,8,47500676,3162112,3162112,2.281043663549887,7848,f47cdae04c1985f4eacd095e13840ab396a2b6a58f5040816859e7d0f900f307,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,1917313c14a78d841a783feab2b3f654b5badd70479f3c5a74ffce4613884a26,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_radon_rho1_8,3417,Learned channel / Radon,1/8,32,1024,32,64,67.47252747252747,68.20695644225057,67.83974195738902,68.24179336163996,3.6248897266852396,4.019402225933177,3.8221459763092156,6,12,56954244,12615680,12615680,3.592268588583344,8012,b314a782244071e26a6ffe1560f0c2ff4f2bee3bb40b33e91060cb69a8bd01e2,3df12693c5aa2aaec2047ec32c59ba4394793467ccae79f869352927506d3deb,cf47a3dc3a2d466d4452a481e6b5022a30f51f906eb7ef5828f6811939468013,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_self_rho1_8,3417,Learned channel / Self only,1/8,32,1024,32,64,63.847637745842235,64.1875542163174,64.01759598107981,63.847637745842235,0.0,0.0,0.0,0,8,56954244,12615680,6324224,2.5126540561834796,8012,4a9466bec31c7d9a877d1577f27ef98d797ff41657e126c60fbf37719a6466c7,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,60ab96246085c63b2a4e5fbf41d1011ef6310282a371365fc1783fe055ec10ce,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_scrambled_rho1_8,3417,Learned channel / Scrambled Radon,1/8,32,1024,32,64,65.53896726475826,63.84103389617655,64.6900005804674,68.22002923976609,1.691329518916021,-0.3465203201408471,0.6724045993875905,10,16,56954244,12615680,12615680,4.75673890236673,8012,8acac51d53319c450e60a672e9fed3a254cfa2abbc93c9627670b22b05ed6860,441a817cce7e924e49819f92b8d26b5c740b381e8ed165483e39c0dbff228442,a51d7f621b2421613e7cb38e3cd32a3b6cb74cc15387f5f79fd6bf0ab53609a1,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
seed3417_channel_svd_resample_rho1_8,3417,Learned channel / Linear resampling,1/8,32,1024,N/A (packing32),64,63.847637745842235,64.1875542163174,64.01759598107981,63.847637745842235,0.0,0.0,0.0,0,8,56954244,12615680,12615680,2.3364128988667896,8154,e680305ecbe0e2c28c8f46898faa4ff69db251f7020dc37d0a583a23d4e96dbb,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,ad16b6b7a5debf2419399e40112f76fbe238fb7596f021e013bc3bbe8a2ca54f,368dc093b22a22aecf7cd8ccef42bb60d68d8962a029504347b0ab22945ee07a,b597bc7544eac65b5897fba6a31f868bb8fbe86bf7c9c6858a5875769188ef6c
