model_view_id,checkpoint_sha256,split,condition,metric,paired_minus_perturbed_pp
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_oct_to_cfp,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_oct_to_cfp,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_cfp_to_oct,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_cfp_to_oct,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_cfp_to_oct,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_both,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_both,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,development,shuffle_both,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_oct_to_cfp,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_oct_to_cfp,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_oct_to_cfp,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_cfp_to_oct,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_cfp_to_oct,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_cfp_to_oct,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_both,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_both,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,disable_both,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_oct_to_cfp,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_oct_to_cfp,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_oct_to_cfp,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_cfp_to_oct,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_cfp_to_oct,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_cfp_to_oct,mean,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_both,cfp,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_both,oct,0.0
c7aa19f7d079e82d4f16cf231f5e3af5a48fc0d0b79e59e2e89df0bdc04fe0f1,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,test,shuffle_both,mean,0.0
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_oct_to_cfp,cfp,22.150454044741107
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_oct_to_cfp,oct,0.0
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_oct_to_cfp,mean,11.075227022370559
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_cfp_to_oct,cfp,0.0
ebc675997c1454051cdf8b8981d2e67f29dffee8a7f0fe955f48bd1fe41a4ca5,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,development,disable_cfp_to_oct,oct,37.94225434119944
