protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,radon_M16_S64_k3_r32,3e-05,oct_macro_f1,3,64.78963168188805,2.509076657035983
branch,radon_M16_S64_k3_r32,3e-05,branch_mean_macro_f1,3,66.95879091899084,1.5111641468512955
branch,radon_M16_S64_k3_r32,3e-05,primary_macro_f1,3,66.95879091899084,1.5111641468512955
branch,radon_M16_S64_k3_r32,3e-05,late_fusion_macro_f1,3,67.66874144267085,3.125767751456591
branch,radon_M16_S64_k3_r32,6e-05,cfp_macro_f1,3,67.90723062109596,1.0970492266106904
branch,radon_M16_S64_k3_r32,6e-05,oct_macro_f1,3,68.7746500826995,1.356795066263203
branch,radon_M16_S64_k3_r32,6e-05,branch_mean_macro_f1,3,68.34094035189773,1.2195473893612827
branch,radon_M16_S64_k3_r32,6e-05,primary_macro_f1,3,68.34094035189773,1.2195473893612827
branch,radon_M16_S64_k3_r32,6e-05,late_fusion_macro_f1,3,69.76479659359656,1.2498721925158645
branch,linear_resample_M16_S64_k3_r63,3e-05,cfp_macro_f1,3,65.19301391888513,2.124358021530339
branch,linear_resample_M16_S64_k3_r63,3e-05,oct_macro_f1,3,65.16120255147011,0.9867748685762329
branch,linear_resample_M16_S64_k3_r63,3e-05,branch_mean_macro_f1,3,65.17710823517763,0.7738031751360687
branch,linear_resample_M16_S64_k3_r63,3e-05,primary_macro_f1,3,65.17710823517763,0.7738031751360687
branch,linear_resample_M16_S64_k3_r63,3e-05,late_fusion_macro_f1,3,67.72287285370373,3.360955837329708
branch,linear_resample_M16_S64_k3_r63,6e-05,cfp_macro_f1,3,66.65332243912057,1.0399089345640622
branch,linear_resample_M16_S64_k3_r63,6e-05,oct_macro_f1,3,65.26389543592427,1.8596238510640355
branch,linear_resample_M16_S64_k3_r63,6e-05,branch_mean_macro_f1,3,65.95860893752241,1.4386373670224735
branch,linear_resample_M16_S64_k3_r63,6e-05,primary_macro_f1,3,65.95860893752241,1.4386373670224735
branch,linear_resample_M16_S64_k3_r63,6e-05,late_fusion_macro_f1,3,68.98488940620445,1.3915373873749113
branch,linear_resample_M16_S64_k3_r64,3e-05,cfp_macro_f1,3,65.92289617932923,1.7985948701612922
branch,linear_resample_M16_S64_k3_r64,3e-05,oct_macro_f1,3,65.35435179622121,1.2902492392822915
branch,linear_resample_M16_S64_k3_r64,3e-05,branch_mean_macro_f1,3,65.6386239877752,1.4700638402796404
branch,linear_resample_M16_S64_k3_r64,3e-05,primary_macro_f1,3,65.6386239877752,1.4700638402796404
branch,linear_resample_M16_S64_k3_r64,3e-05,late_fusion_macro_f1,3,68.23607064079742,3.8039189098499886
branch,linear_resample_M16_S64_k3_r64,6e-05,cfp_macro_f1,3,65.75370770091271,1.660888252145152
branch,linear_resample_M16_S64_k3_r64,6e-05,oct_macro_f1,3,64.95241808877864,0.6917525148722588
branch,linear_resample_M16_S64_k3_r64,6e-05,branch_mean_macro_f1,3,65.35306289484568,1.156575113936654
branch,linear_resample_M16_S64_k3_r64,6e-05,primary_macro_f1,3,65.35306289484568,1.156575113936654
branch,linear_resample_M16_S64_k3_r64,6e-05,late_fusion_macro_f1,3,68.88513873473609,4.4375698825583685
branch,radon_M16_S64_k3_r64,3e-05,cfp_macro_f1,3,70.20753745953553,1.500055088880721
branch,radon_M16_S64_k3_r64,3e-05,oct_macro_f1,3,68.60907051654887,1.6640496163545202
branch,radon_M16_S64_k3_r64,3e-05,branch_mean_macro_f1,3,69.40830398804219,1.2433014594483196
branch,radon_M16_S64_k3_r64,3e-05,primary_macro_f1,3,69.40830398804219,1.2433014594483196
branch,radon_M16_S64_k3_r64,3e-05,late_fusion_macro_f1,3,69.87105613143638,2.138847773214363
branch,radon_M16_S64_k3_r64,6e-05,cfp_macro_f1,3,69.90368161988835,2.7408605430053923
branch,radon_M16_S64_k3_r64,6e-05,oct_macro_f1,3,68.88205404357824,2.074343572796295
branch,radon_M16_S64_k3_r64,6e-05,branch_mean_macro_f1,3,69.39286783173328,2.335078732803672
branch,radon_M16_S64_k3_r64,6e-05,primary_macro_f1,3,69.39286783173328,2.335078732803672
branch,radon_M16_S64_k3_r64,6e-05,late_fusion_macro_f1,3,68.99937929947377,2.837702981313815
branch,linear_resample_M64_S64_k3_r8,3e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M64_S64_k3_r8,3e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M64_S64_k3_r8,3e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r8,3e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r8,3e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,linear_resample_M64_S64_k3_r8,6e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M64_S64_k3_r8,6e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M64_S64_k3_r8,6e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r8,6e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r8,6e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,radon_M64_S64_k3_r8,3e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,radon_M64_S64_k3_r8,3e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,radon_M64_S64_k3_r8,3e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,radon_M64_S64_k3_r8,3e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,radon_M64_S64_k3_r8,3e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,radon_M64_S64_k3_r8,6e-05,cfp_macro_f1,3,66.99778056049114,3.8346885940541964
branch,radon_M64_S64_k3_r8,6e-05,oct_macro_f1,3,64.63015310327592,0.7666037595856091
branch,radon_M64_S64_k3_r8,6e-05,branch_mean_macro_f1,3,65.81396683188353,2.2892205353318293
branch,radon_M64_S64_k3_r8,6e-05,primary_macro_f1,3,65.81396683188353,2.2892205353318293
branch,radon_M64_S64_k3_r8,6e-05,late_fusion_macro_f1,3,67.89436718112741,3.7612786047157654
branch,linear_resample_M64_S64_k3_r16,3e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M64_S64_k3_r16,3e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M64_S64_k3_r16,3e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r16,3e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M64_S64_k3_r16,3e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,linear_resample_M64_S64_k3_r16,6e-05,cfp_macro_f1,3,65.27518752520947,1.5300254922108363
branch,linear_resample_M64_S64_k3_r16,6e-05,oct_macro_f1,3,65.16120255147011,0.9867748685762329
branch,linear_resample_M64_S64_k3_r16,6e-05,branch_mean_macro_f1,3,65.21819503833979,1.057770586395631
branch,linear_resample_M64_S64_k3_r16,6e-05,primary_macro_f1,3,65.21819503833979,1.057770586395631
branch,linear_resample_M64_S64_k3_r16,6e-05,late_fusion_macro_f1,3,68.46174831134566,3.999861453330122
branch,radon_M64_S64_k3_r16,3e-05,cfp_macro_f1,3,69.45586956757937,2.4167831127774537
branch,radon_M64_S64_k3_r16,3e-05,oct_macro_f1,3,65.94543260152489,2.2231788604457217
branch,radon_M64_S64_k3_r16,3e-05,branch_mean_macro_f1,3,67.70065108455212,2.247513816731811
branch,radon_M64_S64_k3_r16,3e-05,primary_macro_f1,3,67.70065108455212,2.247513816731811
branch,radon_M64_S64_k3_r16,3e-05,late_fusion_macro_f1,3,67.54762522559113,2.225201396509256
branch,radon_M64_S64_k3_r16,6e-05,cfp_macro_f1,3,68.09557712550698,2.5012786015727992
branch,radon_M64_S64_k3_r16,6e-05,oct_macro_f1,3,69.45817784867008,0.5143209469398576
branch,radon_M64_S64_k3_r16,6e-05,branch_mean_macro_f1,3,68.77687748708854,1.3601220439975317
branch,radon_M64_S64_k3_r16,6e-05,primary_macro_f1,3,68.77687748708854,1.3601220439975317
branch,radon_M64_S64_k3_r16,6e-05,late_fusion_macro_f1,3,69.13578939759113,1.4033061534430562
branch,linear_resample_M32_S32_k3_r16,3e-05,cfp_macro_f1,3,65.08497349350766,1.5989368780398892
branch,linear_resample_M32_S32_k3_r16,3e-05,oct_macro_f1,3,65.28203757823009,1.174655094646598
branch,linear_resample_M32_S32_k3_r16,3e-05,branch_mean_macro_f1,3,65.18350553586887,1.039350597064797
branch,linear_resample_M32_S32_k3_r16,3e-05,primary_macro_f1,3,65.18350553586887,1.039350597064797
branch,linear_resample_M32_S32_k3_r16,3e-05,late_fusion_macro_f1,3,68.23471305691315,3.802831226863151
branch,linear_resample_M32_S32_k3_r16,6e-05,cfp_macro_f1,3,65.75370770091271,1.660888252145152
branch,linear_resample_M32_S32_k3_r16,6e-05,oct_macro_f1,3,64.941391064053,0.6779666778925788
branch,linear_resample_M32_S32_k3_r16,6e-05,branch_mean_macro_f1,3,65.34754938248285,1.1517734977679825
branch,linear_resample_M32_S32_k3_r16,6e-05,primary_macro_f1,3,65.34754938248285,1.1517734977679825
branch,linear_resample_M32_S32_k3_r16,6e-05,late_fusion_macro_f1,3,67.76901698481151,3.5036947854732614
branch,radon_M32_S32_k3_r16,3e-05,cfp_macro_f1,3,66.7392021416477,3.1892383528054533
branch,radon_M32_S32_k3_r16,3e-05,oct_macro_f1,3,65.71434199153536,1.3597374275795124
branch,radon_M32_S32_k3_r16,3e-05,branch_mean_macro_f1,3,66.22677206659152,2.230189614757013
branch,radon_M32_S32_k3_r16,3e-05,primary_macro_f1,3,66.22677206659152,2.230189614757013
branch,radon_M32_S32_k3_r16,3e-05,late_fusion_macro_f1,3,67.11102092227804,2.8709840950210177
branch,radon_M32_S32_k3_r16,6e-05,cfp_macro_f1,3,68.56912895919046,1.878777992667511
branch,radon_M32_S32_k3_r16,6e-05,oct_macro_f1,3,69.00313054902209,1.1854865242860964
branch,radon_M32_S32_k3_r16,6e-05,branch_mean_macro_f1,3,68.78612975410628,1.4229115859375323
branch,radon_M32_S32_k3_r16,6e-05,primary_macro_f1,3,68.78612975410628,1.4229115859375323
branch,radon_M32_S32_k3_r16,6e-05,late_fusion_macro_f1,3,69.67172477375821,0.1396205970096431
branch,linear_resample_M32_S32_k3_r22,3e-05,cfp_macro_f1,3,66.3096606748844,2.229135961886991
branch,linear_resample_M32_S32_k3_r22,3e-05,oct_macro_f1,3,65.51745446497516,1.5564647891795336
branch,linear_resample_M32_S32_k3_r22,3e-05,branch_mean_macro_f1,3,65.91355756992976,1.8482860059657555
branch,linear_resample_M32_S32_k3_r22,3e-05,primary_macro_f1,3,65.91355756992976,1.8482860059657555
branch,linear_resample_M32_S32_k3_r22,3e-05,late_fusion_macro_f1,3,68.34902387658732,3.8983230648377543
branch,linear_resample_M32_S32_k3_r22,6e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M32_S32_k3_r22,6e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M32_S32_k3_r22,6e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S32_k3_r22,6e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S32_k3_r22,6e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,linear_resample_M32_S32_k3_r23,3e-05,cfp_macro_f1,3,67.18789259039414,3.0597360326434884
branch,linear_resample_M32_S32_k3_r23,3e-05,oct_macro_f1,3,64.28496191264281,1.4998986968807801
branch,linear_resample_M32_S32_k3_r23,3e-05,branch_mean_macro_f1,3,65.73642725151848,1.5094426367510752
branch,linear_resample_M32_S32_k3_r23,3e-05,primary_macro_f1,3,65.73642725151848,1.5094426367510752
