id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3417_qr_oct_to_cfp_rho1_8,seed3417_qr_oct_to_cfp_rho1_8,3417,qr_oct_to_cfp,independent_width,0.125,32,1024,67.82277351214657,62.07732784259894,64.95005067737276,8,14,9492ca08418c0458da9103475910c79466489e92d84498584c6d413694786cbd,6e08c1c0564e2bf6cb97b5a5fcc1fe3651fed28148de19057130f739820516ff
seed3417_qr_cfp_to_oct_rho1_8,seed3417_qr_cfp_to_oct_rho1_8,3417,qr_cfp_to_oct,independent_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,61aeb855e9763eaf4978e123ed0c18cc2a6ee73fea0e47dedafb0511edf2ece2
seed3417_qr_resample_rho1_4,seed3417_qr_resample_rho1_4,3417,qr_resample,independent_width,0.25,64,2048,67.22636319015604,62.810672514619895,65.01851785238796,6,12,af9dd6b51cf975bb838e28966e2a5df6ccb06abf05f71be8bb9eefbf2bc4f6d1,188a44c6c5e25e89ab174304a8a6c780959d63be61d1bf5a059a9168237ad2ad
seed3417_svd_oct_to_cfp_rho1_4,seed3417_svd_oct_to_cfp_rho1_4,3417,svd_oct_to_cfp,independent_width,0.25,64,2048,70.2485380116959,62.4961475681167,66.3723427899063,8,12,67529f6ba82eb0cda03564c4cddecc3588f4b8cb26d0b824546755d2c8b6d2ab,bf0fc1f5b513ab3ba7cc483b7b55367652938dddeed0c6140dfaa3ac1cf38206
seed3417_svd_cfp_to_oct_rho1_4,seed3417_svd_cfp_to_oct_rho1_4,3417,svd_cfp_to_oct,independent_width,0.25,64,2048,63.14160050265608,66.50780044573976,64.82470047419793,10,16,fb6120a6b585938bbb1483c9b7b75e90f79a746a56da6212ffd92f7eeab88db7,9ce24e9ed61e2c35cba054743c8f50ce82e23c4b8436b41be0d98f77d9e45c18
seed3417_qr_oct_to_cfp_rho1_4,seed3417_qr_oct_to_cfp_rho1_4,3417,qr_oct_to_cfp,independent_width,0.25,64,2048,71.62162162162163,65.20230554128858,68.4119635814551,17,23,3a91cebea54ff8295caa6df7290b463eb5d08212c64872e8b5244e79cc28503f,23adfec41d83fa5fe34a619ecd346f3c3ea3fbadae456a449604b109f1ac90c7
seed3417_qr_cfp_to_oct_rho1_4,seed3417_qr_cfp_to_oct_rho1_4,3417,qr_cfp_to_oct,independent_width,0.25,64,2048,61.78899868623979,68.84923358499199,65.3191161356159,7,13,91fbc92795cb70360a56b92a8d90add94f68fb39b66b318ad8efd256b59251ae,e275b4f2b4504c094a4dac22af37df107958a6f00fb0504191425bba0a86199f
seed3418_qr_resample_rho1_16,seed3418_qr_resample_rho1_16,3418,qr_resample,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,6cddac93390855609a5a055588379bcbdd628ec71ba4f491a4fe0e62595e3fbe
seed3418_svd_oct_to_cfp_rho1_16,seed3418_svd_oct_to_cfp_rho1_16,3418,svd_oct_to_cfp,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,e977c42a0486b3def08a0a06896a225c964063a4740302a2a681a12efa498634
seed3418_svd_cfp_to_oct_rho1_16,seed3418_svd_cfp_to_oct_rho1_16,3418,svd_cfp_to_oct,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,cb4652fcdc677b3d2ecbe2fb0111050512edfe27b587e27687a1ef1759299709
seed3418_qr_oct_to_cfp_rho1_16,seed3418_qr_oct_to_cfp_rho1_16,3418,qr_oct_to_cfp,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,3f5c127037a03b6c8e35202609469aabe90b5506ce50c8221b59b84c2a28535b
seed3418_qr_cfp_to_oct_rho1_16,seed3418_qr_cfp_to_oct_rho1_16,3418,qr_cfp_to_oct,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,72157c9827be2068d2829644be0f9b02d8b5d2417283459dbf942f510496c799
seed3418_qr_resample_rho1_8,seed3418_qr_resample_rho1_8,3418,qr_resample,independent_width,0.125,32,1024,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,6d57daae7c9ed70a76a6a0a4a16c061697e3d880e2122c798e332db9aa11e370
