method,split,branch,field,value,n,mean_error_rate
linear_resample_M32_S64_k3_r32,validation,cfp,centre,11024,74,0.32882882882882886
linear_resample_M32_S64_k3_r32,validation,oct,sex,0,138,0.33695652173913043
linear_resample_M32_S64_k3_r32,validation,oct,sex,1,158,0.370253164556962
linear_resample_M32_S64_k3_r32,validation,oct,label,0,148,0.32995495495495497
linear_resample_M32_S64_k3_r32,validation,oct,label,1,148,0.3795045045045045
linear_resample_M32_S64_k3_r32,validation,oct,age_band,60plus,212,0.36556603773584906
linear_resample_M32_S64_k3_r32,validation,oct,age_band,under60,84,0.3273809523809524
linear_resample_M32_S64_k3_r32,validation,oct,centre,11014,48,0.3541666666666667
linear_resample_M32_S64_k3_r32,validation,oct,centre,11016,22,0.49242424242424243
linear_resample_M32_S64_k3_r32,validation,oct,centre,11018,42,0.36904761904761907
linear_resample_M32_S64_k3_r32,validation,oct,centre,11020,44,0.2689393939393939
linear_resample_M32_S64_k3_r32,validation,oct,centre,11021,64,0.3619791666666667
linear_resample_M32_S64_k3_r32,validation,oct,centre,11024,74,0.3400900900900901
linear_resample_M32_S64_k3_r32,test,cfp,sex,0,118,0.4378531073446328
linear_resample_M32_S64_k3_r32,test,cfp,sex,1,172,0.3866279069767442
linear_resample_M32_S64_k3_r32,test,cfp,label,0,145,0.41954022988505746
linear_resample_M32_S64_k3_r32,test,cfp,label,1,145,0.3954022988505747
linear_resample_M32_S64_k3_r32,test,cfp,age_band,60plus,186,0.4112903225806452
linear_resample_M32_S64_k3_r32,test,cfp,age_band,under60,104,0.40064102564102566
linear_resample_M32_S64_k3_r32,test,cfp,centre,11014,48,0.3888888888888889
linear_resample_M32_S64_k3_r32,test,cfp,centre,11018,28,0.39880952380952384
linear_resample_M32_S64_k3_r32,test,cfp,centre,11020,46,0.4420289855072464
linear_resample_M32_S64_k3_r32,test,cfp,centre,11021,60,0.4
linear_resample_M32_S64_k3_r32,test,cfp,centre,11024,90,0.412962962962963
linear_resample_M32_S64_k3_r32,test,oct,sex,0,118,0.4364406779661017
linear_resample_M32_S64_k3_r32,test,oct,sex,1,172,0.40406976744186046
linear_resample_M32_S64_k3_r32,test,oct,label,0,145,0.3954022988505747
linear_resample_M32_S64_k3_r32,test,oct,label,1,145,0.43908045977011495
linear_resample_M32_S64_k3_r32,test,oct,age_band,60plus,186,0.3870967741935484
linear_resample_M32_S64_k3_r32,test,oct,age_band,under60,104,0.47115384615384615
linear_resample_M32_S64_k3_r32,test,oct,centre,11014,48,0.3680555555555556
linear_resample_M32_S64_k3_r32,test,oct,centre,11018,28,0.4583333333333333
linear_resample_M32_S64_k3_r32,test,oct,centre,11020,46,0.3804347826086957
linear_resample_M32_S64_k3_r32,test,oct,centre,11021,60,0.44722222222222224
linear_resample_M32_S64_k3_r32,test,oct,centre,11024,90,0.44814814814814813
radon_M32_S64_k3_r32,validation,cfp,sex,0,138,0.26811594202898553
radon_M32_S64_k3_r32,validation,cfp,sex,1,158,0.33544303797468356
radon_M32_S64_k3_r32,validation,cfp,label,0,148,0.2725225225225225
radon_M32_S64_k3_r32,validation,cfp,label,1,148,0.3355855855855856
radon_M32_S64_k3_r32,validation,cfp,age_band,60plus,212,0.3136792452830189
radon_M32_S64_k3_r32,validation,cfp,age_band,under60,84,0.27976190476190477
radon_M32_S64_k3_r32,validation,cfp,centre,11014,48,0.3263888888888889
radon_M32_S64_k3_r32,validation,cfp,centre,11016,22,0.36363636363636365
radon_M32_S64_k3_r32,validation,cfp,centre,11018,42,0.32142857142857145
radon_M32_S64_k3_r32,validation,cfp,centre,11020,44,0.2765151515151515
radon_M32_S64_k3_r32,validation,cfp,centre,11021,64,0.2630208333333333
radon_M32_S64_k3_r32,validation,cfp,centre,11024,74,0.3130630630630631
radon_M32_S64_k3_r32,validation,oct,sex,0,138,0.3007246376811594
radon_M32_S64_k3_r32,validation,oct,sex,1,158,0.35548523206751054
radon_M32_S64_k3_r32,validation,oct,label,0,148,0.29504504504504503
radon_M32_S64_k3_r32,validation,oct,label,1,148,0.36486486486486486
radon_M32_S64_k3_r32,validation,oct,age_band,60plus,212,0.33254716981132076
radon_M32_S64_k3_r32,validation,oct,age_band,under60,84,0.32341269841269843
radon_M32_S64_k3_r32,validation,oct,centre,11014,48,0.3506944444444444
radon_M32_S64_k3_r32,validation,oct,centre,11016,22,0.4090909090909091
radon_M32_S64_k3_r32,validation,oct,centre,11018,42,0.3373015873015873
radon_M32_S64_k3_r32,validation,oct,centre,11020,44,0.2878787878787879
radon_M32_S64_k3_r32,validation,oct,centre,11021,64,0.3072916666666667
radon_M32_S64_k3_r32,validation,oct,centre,11024,74,0.32657657657657657
radon_M32_S64_k3_r32,test,cfp,sex,0,118,0.384180790960452
radon_M32_S64_k3_r32,test,cfp,sex,1,172,0.3624031007751938
radon_M32_S64_k3_r32,test,cfp,label,0,145,0.34022988505747126
radon_M32_S64_k3_r32,test,cfp,label,1,145,0.40229885057471265
radon_M32_S64_k3_r32,test,cfp,age_band,60plus,186,0.35304659498207885
radon_M32_S64_k3_r32,test,cfp,age_band,under60,104,0.40384615384615385
radon_M32_S64_k3_r32,test,cfp,centre,11014,48,0.2777777777777778
radon_M32_S64_k3_r32,test,cfp,centre,11018,28,0.4107142857142857
radon_M32_S64_k3_r32,test,cfp,centre,11020,46,0.3695652173913043
radon_M32_S64_k3_r32,test,cfp,centre,11021,60,0.35833333333333334
radon_M32_S64_k3_r32,test,cfp,centre,11024,90,0.43333333333333335
radon_M32_S64_k3_r32,test,oct,sex,0,118,0.4067796610169492
radon_M32_S64_k3_r32,test,oct,sex,1,172,0.3817829457364341
radon_M32_S64_k3_r32,test,oct,label,0,145,0.3390804597701149
radon_M32_S64_k3_r32,test,oct,label,1,145,0.44482758620689655
radon_M32_S64_k3_r32,test,oct,age_band,60plus,186,0.37544802867383514
radon_M32_S64_k3_r32,test,oct,age_band,under60,104,0.421474358974359
radon_M32_S64_k3_r32,test,oct,centre,11014,48,0.3125
radon_M32_S64_k3_r32,test,oct,centre,11018,28,0.40476190476190477
radon_M32_S64_k3_r32,test,oct,centre,11020,46,0.35144927536231885
radon_M32_S64_k3_r32,test,oct,centre,11021,60,0.4166666666666667
radon_M32_S64_k3_r32,test,oct,centre,11024,90,0.45
no_communication,validation,cfp,sex,0,138,0.28381642512077293
no_communication,validation,cfp,sex,1,158,0.39556962025316456
no_communication,validation,cfp,label,0,148,0.3502252252252252
no_communication,validation,cfp,label,1,148,0.3367117117117117
no_communication,validation,cfp,age_band,60plus,212,0.3671383647798742
no_communication,validation,cfp,age_band,under60,84,0.2837301587301587
no_communication,validation,cfp,centre,11014,48,0.3263888888888889
no_communication,validation,cfp,centre,11016,22,0.2803030303030303
no_communication,validation,cfp,centre,11018,42,0.40476190476190477
no_communication,validation,cfp,centre,11020,44,0.3484848484848485
no_communication,validation,cfp,centre,11021,64,0.3255208333333333
no_communication,validation,cfp,centre,11024,74,0.34684684684684686
no_communication,validation,oct,sex,0,138,0.3393719806763285
no_communication,validation,oct,sex,1,158,0.3681434599156118
no_communication,validation,oct,label,0,148,0.32094594594594594
no_communication,validation,oct,label,1,148,0.3885135135135135
no_communication,validation,oct,age_band,60plus,212,0.3632075471698113
no_communication,validation,oct,age_band,under60,84,0.3333333333333333
no_communication,validation,oct,centre,11014,48,0.3611111111111111
no_communication,validation,oct,centre,11016,22,0.5075757575757576
no_communication,validation,oct,centre,11018,42,0.3611111111111111
no_communication,validation,oct,centre,11020,44,0.2840909090909091
no_communication,validation,oct,centre,11021,64,0.359375
no_communication,validation,oct,centre,11024,74,0.3355855855855856
no_communication,test,cfp,sex,0,118,0.4435028248587571
no_communication,test,cfp,sex,1,172,0.3846899224806202
no_communication,test,cfp,label,0,145,0.42528735632183906
no_communication,test,cfp,label,1,145,0.39195402298850573
no_communication,test,cfp,age_band,60plus,186,0.4175627240143369
no_communication,test,cfp,age_band,under60,104,0.3926282051282051
no_communication,test,cfp,centre,11014,48,0.4097222222222222
no_communication,test,cfp,centre,11018,28,0.44642857142857145
no_communication,test,cfp,centre,11020,46,0.43478260869565216
no_communication,test,cfp,centre,11021,60,0.3888888888888889
no_communication,test,cfp,centre,11024,90,0.39814814814814814
no_communication,test,oct,sex,0,118,0.4406779661016949
no_communication,test,oct,sex,1,172,0.4176356589147287
no_communication,test,oct,label,0,145,0.39195402298850573
no_communication,test,oct,label,1,145,0.46206896551724136
no_communication,test,oct,age_band,60plus,186,0.3978494623655914
no_communication,test,oct,age_band,under60,104,0.4791666666666667
no_communication,test,oct,centre,11014,48,0.3715277777777778
no_communication,test,oct,centre,11018,28,0.4642857142857143
no_communication,test,oct,centre,11020,46,0.38768115942028986
no_communication,test,oct,centre,11021,60,0.44722222222222224
no_communication,test,oct,centre,11024,90,0.4759259259259259
mmtm_hidden128,validation,cfp,sex,0,138,0.2826086956521739
mmtm_hidden128,validation,cfp,sex,1,158,0.3987341772151899
mmtm_hidden128,validation,cfp,label,0,148,0.34234234234234234
mmtm_hidden128,validation,cfp,label,1,148,0.34684684684684686
mmtm_hidden128,validation,cfp,age_band,60plus,212,0.36477987421383645
mmtm_hidden128,validation,cfp,age_band,under60,84,0.29365079365079366
mmtm_hidden128,validation,cfp,centre,11014,48,0.3263888888888889
mmtm_hidden128,validation,cfp,centre,11016,22,0.2727272727272727
mmtm_hidden128,validation,cfp,centre,11018,42,0.3888888888888889
mmtm_hidden128,validation,cfp,centre,11020,44,0.3560606060606061
mmtm_hidden128,validation,cfp,centre,11021,64,0.3385416666666667
mmtm_hidden128,validation,cfp,centre,11024,74,0.34684684684684686
mmtm_hidden128,validation,oct,sex,0,138,0.33816425120772947
mmtm_hidden128,validation,oct,sex,1,158,0.3691983122362869
mmtm_hidden128,validation,oct,label,0,148,0.3400900900900901
mmtm_hidden128,validation,oct,label,1,148,0.36936936936936937
mmtm_hidden128,validation,oct,age_band,60plus,212,0.36477987421383645
mmtm_hidden128,validation,oct,age_band,under60,84,0.32936507936507936
mmtm_hidden128,validation,oct,centre,11014,48,0.3402777777777778
mmtm_hidden128,validation,oct,centre,11016,22,0.5151515151515151
mmtm_hidden128,validation,oct,centre,11018,42,0.38095238095238093
mmtm_hidden128,validation,oct,centre,11020,44,0.2803030303030303
mmtm_hidden128,validation,oct,centre,11021,64,0.359375
mmtm_hidden128,validation,oct,centre,11024,74,0.33783783783783783
mmtm_hidden128,test,cfp,sex,0,118,0.4406779661016949
mmtm_hidden128,test,cfp,sex,1,172,0.38953488372093026
mmtm_hidden128,test,cfp,label,0,145,0.4114942528735632
mmtm_hidden128,test,cfp,label,1,145,0.4091954022988506
mmtm_hidden128,test,cfp,age_band,60plus,186,0.41935483870967744
mmtm_hidden128,test,cfp,age_band,under60,104,0.3942307692307692
mmtm_hidden128,test,cfp,centre,11014,48,0.4097222222222222
mmtm_hidden128,test,cfp,centre,11018,28,0.42857142857142855
mmtm_hidden128,test,cfp,centre,11020,46,0.427536231884058
mmtm_hidden128,test,cfp,centre,11021,60,0.40555555555555556
mmtm_hidden128,test,cfp,centre,11024,90,0.3962962962962963
mmtm_hidden128,test,oct,sex,0,118,0.4350282485875706
mmtm_hidden128,test,oct,sex,1,172,0.4166666666666667
mmtm_hidden128,test,oct,label,0,145,0.40229885057471265
mmtm_hidden128,test,oct,label,1,145,0.4459770114942529
mmtm_hidden128,test,oct,age_band,60plus,186,0.3924731182795699
mmtm_hidden128,test,oct,age_band,under60,104,0.4807692307692308
mmtm_hidden128,test,oct,centre,11014,48,0.375
mmtm_hidden128,test,oct,centre,11018,28,0.47619047619047616
mmtm_hidden128,test,oct,centre,11020,46,0.38405797101449274
mmtm_hidden128,test,oct,centre,11021,60,0.43333333333333335
mmtm_hidden128,test,oct,centre,11024,90,0.4703703703703704
mmtm_hidden256,validation,cfp,sex,0,138,0.2826086956521739
mmtm_hidden256,validation,cfp,sex,1,158,0.3987341772151899
mmtm_hidden256,validation,cfp,label,0,148,0.34234234234234234
mmtm_hidden256,validation,cfp,label,1,148,0.34684684684684686
mmtm_hidden256,validation,cfp,age_band,60plus,212,0.36477987421383645
mmtm_hidden256,validation,cfp,age_band,under60,84,0.29365079365079366
mmtm_hidden256,validation,cfp,centre,11014,48,0.3263888888888889
mmtm_hidden256,validation,cfp,centre,11016,22,0.2727272727272727
mmtm_hidden256,validation,cfp,centre,11018,42,0.3888888888888889
mmtm_hidden256,validation,cfp,centre,11020,44,0.3560606060606061
mmtm_hidden256,validation,cfp,centre,11021,64,0.3385416666666667
mmtm_hidden256,validation,cfp,centre,11024,74,0.34684684684684686
mmtm_hidden256,validation,oct,sex,0,138,0.33816425120772947
mmtm_hidden256,validation,oct,sex,1,158,0.3691983122362869
mmtm_hidden256,validation,oct,label,0,148,0.3400900900900901
mmtm_hidden256,validation,oct,label,1,148,0.36936936936936937
mmtm_hidden256,validation,oct,age_band,60plus,212,0.36477987421383645
mmtm_hidden256,validation,oct,age_band,under60,84,0.32936507936507936
mmtm_hidden256,validation,oct,centre,11014,48,0.3402777777777778
mmtm_hidden256,validation,oct,centre,11016,22,0.5151515151515151
mmtm_hidden256,validation,oct,centre,11018,42,0.38095238095238093
mmtm_hidden256,validation,oct,centre,11020,44,0.2803030303030303
mmtm_hidden256,validation,oct,centre,11021,64,0.359375
mmtm_hidden256,validation,oct,centre,11024,74,0.33783783783783783
mmtm_hidden256,test,cfp,sex,0,118,0.4406779661016949
mmtm_hidden256,test,cfp,sex,1,172,0.38953488372093026
mmtm_hidden256,test,cfp,label,0,145,0.4114942528735632
mmtm_hidden256,test,cfp,label,1,145,0.4091954022988506
mmtm_hidden256,test,cfp,age_band,60plus,186,0.41935483870967744
mmtm_hidden256,test,cfp,age_band,under60,104,0.3942307692307692
mmtm_hidden256,test,cfp,centre,11014,48,0.4097222222222222
mmtm_hidden256,test,cfp,centre,11018,28,0.42857142857142855
mmtm_hidden256,test,cfp,centre,11020,46,0.427536231884058
mmtm_hidden256,test,cfp,centre,11021,60,0.40555555555555556
mmtm_hidden256,test,cfp,centre,11024,90,0.3962962962962963
mmtm_hidden256,test,oct,sex,0,118,0.4350282485875706
mmtm_hidden256,test,oct,sex,1,172,0.4166666666666667
mmtm_hidden256,test,oct,label,0,145,0.40229885057471265
mmtm_hidden256,test,oct,label,1,145,0.4459770114942529
mmtm_hidden256,test,oct,age_band,60plus,186,0.3924731182795699
mmtm_hidden256,test,oct,age_band,under60,104,0.4807692307692308
mmtm_hidden256,test,oct,centre,11014,48,0.375
mmtm_hidden256,test,oct,centre,11018,28,0.47619047619047616
mmtm_hidden256,test,oct,centre,11020,46,0.38405797101449274
mmtm_hidden256,test,oct,centre,11021,60,0.43333333333333335
mmtm_hidden256,test,oct,centre,11024,90,0.4703703703703704
mmtm_hidden512,validation,cfp,sex,0,138,0.2826086956521739
mmtm_hidden512,validation,cfp,sex,1,158,0.3987341772151899
mmtm_hidden512,validation,cfp,label,0,148,0.34234234234234234
mmtm_hidden512,validation,cfp,label,1,148,0.34684684684684686
mmtm_hidden512,validation,cfp,age_band,60plus,212,0.36477987421383645
mmtm_hidden512,validation,cfp,age_band,under60,84,0.29365079365079366
mmtm_hidden512,validation,cfp,centre,11014,48,0.3263888888888889
